index,TE_LABEL,WAFER_ID,MACH,TOUCHDOWN,ITH,TYPE,X_UM,Y_UM,FLAG
1,118N07,QCHZZ,LIV_53,1,13.603386886250963,BL LASER,-64679,-19916,
4,118N0A,QCHZZ,LIV_53,2,13.359281801496936,BL LASER,-64679,-19766,
7,118N0D,QCHZZ,LIV_53,3,13.178081959466462,BL LASER,-64679,-19616,
10,118N0G,QCHZZ,LIV_53,4,13.013000630304186,BL LASER,-64679,-19466,
2,118N08,QCHZZ,LIV_53,5,12.74866065140852,BL LASER,-64423,-19949,
5,118N0B,QCHZZ,LIV_53,6,12.823885921901086,BL LASER,-64423,-19799,
8,118N0E,QCHZZ,LIV_53,7,12.728774211262419,BL LASER,-64423,-19649,
11,118N0H,QCHZZ,LIV_53,8,12.850863163814102,BL LASER,-64423,-19499,
3,118N09,QCHZZ,LIV_53,9,12.751754025689786,BL LASER,-64166,-19982,
6,118N0C,QCHZZ,LIV_53,10,12.717077966041032,BL LASER,-64166,-19832,
9,118N0F,QCHZZ,LIV_53,11,12.573868176244202,BL LASER,-64166,-19682,
12,118N0I,QCHZZ,LIV_53,12,12.520915214630033,BL LASER,-64166,-19532,
0,118M07,QCHZZ,LIV_53,13,12.632344387935316,BL LASER,-63909,-19916,
22,63N07,QCHZ2,LIV_54,1,12.743698369950366,BL LASER,-43119,-60416,
25,63N0A,QCHZ2,LIV_54,2,13.665729034190992,BL LASER,-43119,-60266,
28,63N0D,QCHZ2,LIV_54,3,12.71013795253522,BL LASER,-43119,-60116,
31,63N0G,QCHZ2,LIV_54,4,12.703815026768893,BL LASER,-43119,-59966,
23,63N08,QCHZ2,LIV_54,5,12.662234341910523,BL LASER,-42863,-60449,
26,63N0B,QCHZ2,LIV_54,6,12.542606573624946,BL LASER,-42863,-60299,
29,63N0E,QCHZ2,LIV_54,7,12.54694789004298,BL LASER,-42863,-60149,
32,63N0H,QCHZ2,LIV_54,8,12.560495175620572,BL LASER,-42863,-59999,
24,63N09,QCHZ2,LIV_54,9,12.612289638095467,BL LASER,-42606,-60482,
27,63N0C,QCHZ2,LIV_54,10,12.493530046386654,BL LASER,-42606,-60332,
30,63N0F,QCHZ2,LIV_54,11,12.739958080882968,BL LASER,-42606,-60182,
33,63N0I,QCHZ2,LIV_54,12,12.575422458313337,BL LASER,-42606,-60032,
10,63M07,QCHZ2,LIV_54,13,12.753002541604207,BL LASER,-42349,-60416,
13,63M0A,QCHZ2,LIV_54,14,12.680348848954518,BL LASER,-42349,-60266,
16,63M0D,QCHZ2,LIV_54,15,12.871293288451476,BL LASER,-42349,-60116,
19,63M0G,QCHZ2,LIV_54,16,12.779244857634485,BL LASER,-42349,-59966,
11,63M08,QCHZ2,LIV_54,17,12.755898792714554,BL LASER,-42093,-60449,
14,63M0B,QCHZ2,LIV_54,18,12.801543758737632,BL LASER,-42093,-60299,
17,63M0E,QCHZ2,LIV_54,19,13.073746129531004,BL LASER,-42093,-60149,
20,63M0H,QCHZ2,LIV_54,20,13.627637251374114,BL LASER,-42093,-59999,
12,63M09,QCHZ2,LIV_54,21,13.653460630636765,BL LASER,-41836,-60482,
15,63M0C,QCHZ2,LIV_54,22,13.791473581004876,BL LASER,-41836,-60332,
18,63M0F,QCHZ2,LIV_54,23,13.321198996647537,BL LASER,-41836,-60182,
21,63M0I,QCHZ2,LIV_54,24,12.979592243848536,BL LASER,-41836,-60032,
0,63L07,QCHZ2,LIV_54,25,12.929469147854864,BL LASER,-41579,-60416,
3,63L0A,QCHZ2,LIV_54,26,12.943338182928777,BL LASER,-41579,-60266,
6,63L0D,QCHZ2,LIV_54,27,12.854207403621212,BL LASER,-41579,-60116,
8,63L0G,QCHZ2,LIV_54,28,12.738502437292052,BL LASER,-41579,-59966,
1,63L08,QCHZ2,LIV_54,29,12.6529868913226,BL LASER,-41323,-60449,
4,63L0B,QCHZ2,LIV_54,30,12.593386205032836,BL LASER,-41323,-60299,
7,63L0E,QCHZ2,LIV_54,31,13.456117850137218,BL LASER,-41323,-60149,
9,63L0H,QCHZ2,LIV_54,32,12.71356738720313,BL LASER,-41323,-59999,
2,63L09,QCHZ2,LIV_54,33,13.893331319186137,BL LASER,-41066,-60482,
5,63L0C,QCHZ2,LIV_54,34,12.697436680619138,BL LASER,-41066,-60332,
